Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
36740,2022,CAMPEONATO TRAIL RUNNING URUGUAY 2022 - AREQUITA TRAIL,38,50K,57.0,2100.0,8.7876,6.1328,11.4814,0,9,1
36742,2022,CAMPEONATO TRAIL RUNNING URUGUAY 2022 - AREQUITA TRAIL,154,20K,25.0,1038.0,3.8976,2.2456,5.9969,0,61,3
36744,2023,Skedaddle 2023 - 42km Two Tunner,57,50K,42.0,2097.0,6.3782,4.3217,8.735,0,19,4
36748,2023,Letecká stovka 2023,180,100K,105.0,3300.0,17.9508,0.0,27.7847,37,31,6
36750,2022,Mount baldy run to the top 2022 - 7 miler,10,20K,11.2,1230.0,1.1335,1.0081,1.3622,0,3,2
36756,2023,Mt Mitchell Heartbreaker 50 Mile/ 55K 2023 - Mount Mitchell Heartbreaker 50 Miler,66,100K,80.5,3810.0,13.1722,8.1478,15.7842,0,11,1
36758,2023,Mt Mitchell Heartbreaker 50 Mile/ 55K 2023 - Heartbreaker 55K,68,50K,55.0,2286.0,9.0818,5.9247,11.8925,0,27,1
36764,2023,Ľudova 50 2023,174,50K,51.0,2600.0,8.215,0.0,13.1281,5,28,6
36774,2023,ULTRA TRACE DE GUADELOUPE 2023 - UT90,66,100K,90.0,3100.0,19.5808,0.0,28.0744,12,15,3
36774,2024,ULTRA TRACE DE GUADELOUPE 2024 - UT100,67,100K,100.0,3980.0,24.7251,0.0,32.8972,15,12,3
36778,2023,Trans Jeju by Utmb 2023 - Jeju20K,619,20K,18.5,460.0,2.6268,0.0,4.0517,6,276,27
36780,2023,Trans Jeju by Utmb 2023 - Jeju10K,218,-,10.0,200.0,1.5868,0.0,2.84,2,147,17
36782,2023,THE JUMPING GORILLA MOUNTAIN TRAIL RUN CHAMPIONSHIP 2023 2023 - GORILLA25KM,49,20K,25.0,1620.0,5.4204,0.0,6.9836,15,11,2
36782,2024,THE JUMPING GORILLA MOUNTAIN ULTRA RUNNING CHAMPIONSHIP BURJ 2024 - GORILLA25KM,71,20K,25.0,1620.0,5.3816,0.0,6.9139,41,4,2
36784,2023,THE JUMPING GORILLA MOUNTAIN TRAIL RUN CHAMPIONSHIP 2023 2023 - GORILLA50KM,21,50K,50.0,3130.0,11.1534,0.0,13.9125,9,5,2
